"On.road.price","Body.Type"
1551922,"Sports Bikes"
2731987,"Sports Bikes"
2384841,"Sports Bikes"
1465191,"Sports Bikes"
156165,"Sports Bikes"
274687,"Sports Naked Bikes, Sports Bikes"
124723,"Sports Bikes"
100164,"Commuter Bikes"
111295,"Commuter Bikes"
170911,"Electric Bikes"
88576,"Commuter Bikes"
140120,"Sports Bikes"
84819,"Commuter Bikes"
177527,"Sports Bikes"
202147,"Sports Bikes"
170260,"Cruiser Bikes"
95174,"Commuter Bikes"
83518,"Commuter Bikes"
81970,"Commuter Bikes"
92311,"Commuter Bikes"
140773,"Commuter Bikes"
177527,"Sports Naked Bikes, Sports Bikes"
214687,"Sports Naked Bikes, Sports Bikes"
137474,"Commuter Bikes"
141063,"Cruiser Bikes"
108671,"Commuter Bikes"
325670,"Adventure Tourer Bikes, Off Road Bikes"
658819,"Adventure Tourer Bikes"
275326,"Cruiser Bikes"
275326,"Cruiser Bikes"
658819,"Sports Naked Bikes"
631426,"Cafe Racer Bikes"
631426,"Cafe Racer Bikes"
275326,"Cruiser Bikes"
658819,"Sports Naked Bikes"
2776544,"Super Bikes"
2118656,"Cruiser Bikes"
2671503,"Cruiser Bikes"
337735,"Sports Bikes"
1538167,"Adventure Tourer Bikes"
2549877,"Super Bikes"
2505649,"Sports Tourer Bikes"
3666628,"Tourer Bikes"
1228572,"Super Bikes, Sports Naked Bikes"
1449711,"Adventure Tourer Bikes"
2290039,"Adventure Tourer Bikes, Off Road Bikes"
1405484,"Adventure Tourer Bikes, Off Road Bikes"
321282,"Sports Naked Bikes"
3666628,"Tourer Bikes"
1925160,"Cafe Racer Bikes"
6099155,"Super Bikes, Sports Bikes"
2284510,"Super Bikes"
2776544,"Tourer Bikes"
3323863,"Tourer Bikes"
365155,"Adventure Tourer Bikes, Off Road Bikes"
2671503,"Cruiser Bikes"
3500774,"Cruiser Bikes"
1814590,"Sports Bikes"
2594105,"Super Bikes, Sports Bikes"
3673262,"Super Bikes, Sports Bikes"
2006981,"Sports Naked Bikes"
3048545,"Super Bikes, Sports Bikes"
2361909,"Cruiser Bikes"
1742720,"Sports Naked Bikes"
1730558,"Adventure Tourer Bikes, Off Road Bikes"
2725682,"Cruiser Bikes"
2043469,"Sports Tourer Bikes"
2858365,"Super Bikes, Sports Naked Bikes"
2051209,"Sports Bikes"
1962753,"Sports Bikes"
1101479,"Cafe Racer Bikes"
1785842,"Sports Naked Bikes, Cafe Racer Bikes"
2780967,"Sports Naked Bikes"
1998136,"Adventure Tourer Bikes"
1449711,"Sports Naked Bikes"
