"Body.Type","Count"
"1023 mm",2
"1079 mm",3
"1080 mm",2
"12 L",2
"14 L",20
"14.5 L",1
"16 L",3
"17 L",3
"20 L",2
"2090 mm",2
"210 mm",1
"22 L",4
"650 mm",1
"685 mm",2
"700 mm",1
"705 mm",1
"710 mm",3
"715 mm",1
"720 mm",2
"729 mm",1
"730 mm",2
"737 mm",4
"742 mm",1
"743 mm",2
"750 mm",3
"752 mm",1
"754 mm",1
"765 mm",2
"770 mm",1
"780 mm",6
"785 mm",3
"786 mm",2
"790 mm",2
"792 mm",5
"793 mm",3
"800 mm",1
"803 mm",2
"805mm",1
"806 mm",5
"810 mm",1
"814 mm",1
"815 mm",1
"820 mm",3
"830 mm",4
"835 mm",8
"848 mm",1
"849 - 982 mm",1
"850 mm",1
"865 mm",1
"867 mm",3
"890 mm",2
"895 mm",3
"900 mm",1
"915 mm",3
"916 mm",2
"922 mm",2
"926 mm",6
"940 mm",1
"964 mm",3
"972 mm",2
"990 mm",7
"995 mm",3
"Adventure Tourer Bikes",15
"Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes",3
"Adventure Tourer Bikes, Off Road Bikes",16
"Adventure Tourer Bikes, Sports Bikes, Off Road Bikes",1
"Adventure Tourer Bikes, Sports Tourer Bikes",2
"Adventure Tourer Bikes, Tourer Bikes, Off Road Bikes",6
"Cafe Racer Bikes",5
"Commuter Bikes",34
"Cruiser Bikes",76
"Cruiser Bikes, Cafe Racer Bikes",3
"Cruiser Bikes, Tourer Bikes",2
"Electric Bikes",1
"Halogen",4
"Halogenbo",1
"LED",31
"Moped Bikes",6
"Sports Bikes",51
"Sports Naked Bikes",30
"Sports Naked Bikes, Cafe Racer Bikes",7
"Sports Naked Bikes, Sports Bikes",7
"Sports Tourer Bikes",2
"Super Bikes",5
"Super Bikes, Sports Bikes",9
"Super Bikes, Sports Naked Bikes",3
"Super Bikes, Sports Tourer Bikes",1
"Telescopic fork",1
"Tourer Bikes",6
