".y.","group1","group2","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"On.road.price","Adventure Tourer Bikes","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes",-939108.866666667,-1860137.30002614,-18080.4333071905,0.044,"*"
"On.road.price","Adventure Tourer Bikes","Adventure Tourer Bikes, Off Road Bikes",-118825.366666667,-1222895.86044409,985245.127110761,1,"ns"
"On.road.price","Adventure Tourer Bikes","Adventure Tourer Bikes, Sports Tourer Bikes",1193163.63333333,NA,NA,NA,""
"On.road.price","Adventure Tourer Bikes","Adventure Tourer Bikes, Tourer Bikes, Off Road Bikes",-923494.866666667,-1844532.00085518,-2457.73247815762,0.049,"*"
"On.road.price","Adventure Tourer Bikes","Cafe Racer Bikes",-172898.066666667,-1632067.70961606,1286271.57628273,1,"ns"
"On.road.price","Adventure Tourer Bikes","Commuter Bikes",-1093606.69019608,-2014651.88489207,-172561.495500086,0.013,"*"
"On.road.price","Adventure Tourer Bikes","Cruiser Bikes",-321712.840350877,-1289229.34673118,645803.66602943,0.997,"ns"
"On.road.price","Adventure Tourer Bikes","Cruiser Bikes, Cafe Racer Bikes",-1005463.2,-1926600.84558268,-84325.554417318,0.026,"*"
"On.road.price","Adventure Tourer Bikes","Cruiser Bikes, Tourer Bikes",3141396.63333333,1683390.43586108,4599402.83080559,0.000893,"***"
"On.road.price","Adventure Tourer Bikes","Moped Bikes",-1125872.53333333,-2046919.36397346,-204825.702693209,0.01,"**"
"On.road.price","Adventure Tourer Bikes","Sports Bikes",-706476.964705882,-1658245.94571301,245292.016301245,0.312,"ns"
"On.road.price","Adventure Tourer Bikes","Sports Naked Bikes",-468791.6,-1462039.40985446,524456.209854461,0.922,"ns"
"On.road.price","Adventure Tourer Bikes","Sports Naked Bikes, Cafe Racer Bikes",66678.2761904763,-909872.712874221,1043229.26525517,1,"ns"
"On.road.price","Adventure Tourer Bikes","Sports Naked Bikes, Sports Bikes",-992771.00952381,-1914423.11688238,-71118.9021652415,0.029,"*"
"On.road.price","Adventure Tourer Bikes","Sports Tourer Bikes",1087017.13333333,-1238209.63634461,3412243.90301127,0.366,"ns"
"On.road.price","Adventure Tourer Bikes","Super Bikes",2482402.93333333,-5885160.96214346,10849966.8288101,0.859,"ns"
"On.road.price","Adventure Tourer Bikes","Super Bikes, Sports Bikes",1699327.24444444,-528677.318849402,3927331.80773829,0.223,"ns"
"On.road.price","Adventure Tourer Bikes","Super Bikes, Sports Naked Bikes",1203851.8,-4446059.72044295,6853763.32044295,0.825,"ns"
"On.road.price","Adventure Tourer Bikes","Tourer Bikes",2269014.13333333,914059.439859242,3623968.82680742,0.000503,"***"
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Adventure Tourer Bikes, Off Road Bikes",820283.5,47829.9200121377,1592737.07998786,0.032,"*"
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Adventure Tourer Bikes, Sports Tourer Bikes",2132272.5,NA,NA,NA,""
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Adventure Tourer Bikes, Tourer Bikes, Off Road Bikes",15614,1867.64953720086,29360.3504627991,0.026,"*"
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Cafe Racer Bikes",766210.8,-822064.192678454,2354485.79267845,0.412,"ns"
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Commuter Bikes",-154497.823529412,-167096.471439595,-141899.175619228,1.95e-14,"****"
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Cruiser Bikes",617396.026315789,217251.343050437,1017540.70958114,4.43e-05,"****"
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Cruiser Bikes, Cafe Racer Bikes",-66354.3333333333,-134561.106826286,1852.44015961901,0.053,"ns"
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Cruiser Bikes, Tourer Bikes",4080505.5,NA,NA,NA,""
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Moped Bikes",-186763.666666667,-203562.250656568,-169965.082676765,0,"****"
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Sports Bikes",232631.901960784,-107150.975196886,572414.779118455,0.547,"ns"
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Sports Naked Bikes",470317.266666667,-28259.8405314534,968894.373864787,0.082,"ns"
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Sports Naked Bikes, Cafe Racer Bikes",1005787.14285714,445967.199199361,1565607.08651492,0.003,"**"
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Sports Naked Bikes, Sports Bikes",-53662.1428571429,-132076.442450664,24752.1567363781,0.231,"ns"
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Sports Tourer Bikes",2026126,NA,NA,NA,""
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Super Bikes",3421511.8,-5092515.58764237,11935539.1876424,0.581,"ns"
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Super Bikes, Sports Bikes",2638436.11111111,424115.709189794,4852756.51303243,0.018,"*"
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Super Bikes, Sports Naked Bikes",2142960.66666667,-4801229.6534004,9087150.98673373,0.405,"ns"
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Tourer Bikes",3208123,1863066.7367226,4553179.2632774,0.000996,"***"
"On.road.price","Adventure Tourer Bikes, Off Road Bikes","Adventure Tourer Bikes, Sports Tourer Bikes",1311989,NA,NA,NA,""
"On.road.price","Adventure Tourer Bikes, Off Road Bikes","Adventure Tourer Bikes, Tourer Bikes, Off Road Bikes",-804669.5,-1577134.76101371,-32204.2389862943,0.037,"*"
"On.road.price","Adventure Tourer Bikes, Off Road Bikes","Cafe Racer Bikes",-54072.7,-1482736.59989504,1374591.19989504,1,"ns"
"On.road.price","Adventure Tourer Bikes, Off Road Bikes","Commuter Bikes",-974781.323529412,-1747257.40427121,-202305.242787615,0.007,"**"
"On.road.price","Adventure Tourer Bikes, Off Road Bikes","Cruiser Bikes",-202887.473684211,-1037070.71541009,631295.768041666,1,"ns"
"On.road.price","Adventure Tourer Bikes, Off Road Bikes","Cruiser Bikes, Cafe Racer Bikes",-886637.833333333,-1659238.26960493,-114037.397061733,0.017,"*"
"On.road.price","Adventure Tourer Bikes, Off Road Bikes","Cruiser Bikes, Tourer Bikes",3260222,1746521.08617346,4773922.91382654,0.002,"**"
"On.road.price","Adventure Tourer Bikes, Off Road Bikes","Moped Bikes",-1007047.16666667,-1779525.44733827,-234568.885995062,0.005,"**"
"On.road.price","Adventure Tourer Bikes, Off Road Bikes","Sports Bikes",-587651.598039216,-1401345.81528409,226042.619205654,0.373,"ns"
"On.road.price","Adventure Tourer Bikes, Off Road Bikes","Sports Naked Bikes",-349966.233333333,-1217453.46901017,517521.002343505,0.985,"ns"
"On.road.price","Adventure Tourer Bikes, Off Road Bikes","Sports Naked Bikes, Cafe Racer Bikes",185503.642857143,-662563.909645277,1033571.19535956,1,"ns"
