".y.","group1","group2","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Moped Bikes",-186763.666666667,-203562.250656568,-169965.082676765,0,"****"
"On.road.price","Adventure Tourer Bikes, Tourer Bikes, Off Road Bikes","Commuter Bikes",-170111.823529412,-184492.671095891,-155730.975962933,8.66e-15,"****"
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Commuter Bikes",-154497.823529412,-167096.471439595,-141899.175619228,1.95e-14,"****"
"On.road.price","Adventure Tourer Bikes, Tourer Bikes, Off Road Bikes","Moped Bikes",-202377.666666667,-219585.795421738,-185169.537911596,2.77e-10,"****"
"On.road.price","Cruiser Bikes","Moped Bikes",-804159.692982456,-1204397.07434956,-403922.311615351,3.29e-08,"****"
"On.road.price","Commuter Bikes","Cruiser Bikes",771893.849845201,371664.73564368,1172122.96404672,1.18e-07,"****"
"On.road.price","Cruiser Bikes","Cruiser Bikes, Cafe Racer Bikes",-683750.359649123,-1084446.09460708,-283054.624691162,3.75e-06,"****"
"On.road.price","Cruiser Bikes","Sports Naked Bikes, Sports Bikes",-671058.169172932,-1074329.03921517,-267787.299130695,6.84e-06,"****"
"On.road.price","Adventure Tourer Bikes, Cruiser Bikes, Off Road Bikes","Cruiser Bikes",617396.026315789,217251.343050437,1017540.70958114,4.43e-05,"****"
"On.road.price","Commuter Bikes","Moped Bikes",-32265.8431372549,-49150.1337388856,-15381.5525356242,5.81e-05,"****"
